publisher,avg_net_score,game_count,total_net_score
Valve,786956.8461538461,13,1.0230439E7
FromSoftware,257639.57142857142,7,1803477.0
CD PROJEKT RED,225073.0,6,1350438.0
Rockstar Games,208085.81818181818,11,2288944.0
SCS Software,161813.66666666666,6,970882.0
Larian Studios,112257.75,8,898062.0
Aspyr (Linux),111503.66666666667,6,669022.0
Aspyr (Mac),87992.5,10,879925.0
KRAFTON,82752.83333333333,6,496517.0
Supergiant Games,78010.6,5,390053.0
Coffee Stain Publishing,77330.92857142857,14,1082633.0
Behaviour Interactive Inc.,77141.66666666667,6,462850.0
Landfall,66186.28571428571,7,463304.0
Klei Entertainment,65596.54545454546,11,721562.0
Bandai Namco Entertainment,64980.22222222222,27,1754466.0
PlayStation Publishing LLC,56152.36842105263,19,1066895.0
Bethesda Softworks,50851.61111111111,36,1830658.0
Ninja Kiwi,47640.5,8,381124.0
Feral Interactive (Linux),46737.5,18,841275.0
WB Games,45959.0,6,275754.0
Gaijin Network Ltd,45511.666666666664,6,273070.0
Warner Bros. Games,44284.666666666664,15,664270.0
Snail Games USA,43323.833333333336,12,519886.0
CAPCOM Co.,38319.38888888889,36,1379498.0
Feral Interactive (Mac),33212.27272727273,33,1096005.0
Avalanche Studios,32361.4,5,161807.0
The Behemoth,31753.0,6,190518.0
Xbox Game Studios,31672.30188679245,53,1678632.0
Crytek,28396.2,5,141981.0
Bohemia Interactive,27799.70588235294,17,472595.0
Gearbox Publishing,27668.76923076923,13,359694.0
2K,27623.61224489796,49,1353557.0
Playstack,27055.5,6,162333.0
Running With Scissors,26291.6,5,131458.0
Ubisoft,25649.127659574468,94,2411018.0
Crystal Dynamics,24673.11111111111,18,444116.0
Electronic Arts,24457.505747126437,87,2127803.0
Frontier Developments,23192.272727272728,11,255115.0
Giants Software,21768.375,8,174147.0
Scott Cawthon,21701.375,8,173611.0
Paradox Interactive,20016.526315789473,57,1140942.0
Private Division,19847.714285714286,7,138934.0
CRITICAL REFLEX,19583.666666666668,6,117502.0
Panic,19459.4,5,97297.0
Tripwire Interactive,18988.5,8,151908.0
Freebird Games,18638.166666666668,6,111829.0
Nicalis,17776.315789473683,19,337750.0
Frictional Games,17408.0,5,87040.0
Warner Bros. Interactive Entertainment,17137.74074074074,27,462719.0
Feral interactive (Linux),17072.2,5,85361.0
New Blood Interactive,17041.083333333332,12,204493.0
Playsaurus,17024.0,8,136192.0
Deep Silver,16971.457142857143,35,594001.0
Relic Entertainment,16927.5,6,101565.0
Fatshark,16837.222222222223,9,151535.0
Frozen District,16298.5,6,97791.0
Arc Games,15073.727272727272,11,165811.0
Chucklefish,14815.727272727272,11,162973.0
11 bit studios,14692.882352941177,17,249779.0
bilibili,14531.285714285714,7,101719.0
Fireproof Games,14424.4,5,72122.0
Total Mayhem Games,14199.6,5,70998.0
Jagex Ltd,12775.5,8,102204.0
Edmund McMillen,12322.0,5,61610.0
Skybound Games,12266.92857142857,14,171737.0
Shiro Games,12178.714285714286,7,85251.0
Annapurna Interactive,12140.466666666667,30,364214.0
Eidos Interactive Corp.,12120.0,5,60600.0
Capcom,12114.09090909091,22,266510.0
SEGA,11854.735294117647,102,1209183.0
Bandai Namco Entertainment Inc.,11630.6,10,116306.0
NEOWIZ,11462.153846153846,13,149008.0
Activision,10860.528301886792,53,575608.0
Telltale,10706.0,5,53530.0
Cygames,9897.0,5,49485.0
Focus Entertainment,9707.050847457627,59,572716.0
Team17,9686.78947368421,38,368098.0
Hooded Horse,9344.857142857143,14,130828.0
Square Enix,8545.089285714286,112,957050.0
KONAMI,8508.645161290322,31,263768.0
Devolver Digital,8411.017699115044,113,950445.0
Stress Level Zero,8227.4,5,41137.0
BANDAI NAMCO Entertainment,8091.474576271186,59,477397.0
Rusty Lake,7906.125,8,63249.0
NEXT Studios,7882.6,5,39413.0
Funcom,7846.357142857143,14,109849.0
505 Games,7841.55,40,313662.0
Ubisoft Entertainment,7490.428571428572,7,52433.0
Curve Games,7420.717948717948,39,289408.0
Ysbryd Games,7221.5,6,43329.0
VALOFE,7030.714285714285,7,49215.0
Hyper Hippo Games,6695.857142857143,7,46871.0
Inc.,6405.149769585253,434,2779835.0
Excalibur Games,6315.0,6,37890.0
Robot Entertainment,6212.833333333333,6,37277.0
Suspicious Developments,6193.0,5,30965.0
Humble Games,6175.395348837209,43,265542.0
Spiral Up Games,6164.5,6,36987.0
Kepler Interactive,6075.666666666667,9,54681.0
Agafonoff,6057.0,7,42399.0
二色幽紫蝶,5737.8,5,28689.0
Eugen Systems,5660.0,6,33960.0
Brace Yourself Games,5625.2,5,28126.0
Ironhide Game Studio,5612.375,8,44899.0
Beamdog,5482.428571428572,7,38377.0
WSS playground,5390.416666666667,12,64685.0
FireFly Studios,5183.222222222223,9,46649.0
XD,5107.75,8,40862.0
Ltd.,5092.191222570533,319,1624409.0
Amanita Design,5005.625,8,40045.0
tobspr Games,4878.0,5,24390.0
4Divinity,4877.0,5,24385.0
SMG Studio,4766.2,5,23831.0
CI Games,4679.0,8,37432.0
Atelier 801,4671.6,5,23358.0
META Publishing,4489.714285714285,7,31428.0
IndieArk,4477.771428571428,35,156722.0
Bloober Team SA,4403.428571428572,7,30824.0
SmashGames,4280.0,5,21400.0
ustwo games,4111.6,5,20558.0
Rebellion,3949.7741935483873,31,122443.0
Awesome Games Studio,3946.0,6,23676.0
Frontier Foundry,3841.4,5,19207.0
Kitfox Games,3819.090909090909,11,42010.0
DrinkBox Studios,3808.0,5,19040.0
Fireshine Games,3727.823529411765,17,63373.0
Serenity Forge,3702.315789473684,19,70344.0
tinyBuild,3655.2179487179487,78,285107.0
Gameloft,3627.8,5,18139.0
Double Fine Productions,3627.1666666666665,12,43526.0
HypeTrain Digital,3594.4761904761904,21,75484.0
Telltale Games,3592.0,5,17960.0
Kalypso Media,3552.866666666667,15,53293.0
HFM Games,3457.5,12,41490.0
Milkstone Studios,3375.222222222222,9,30377.0
Finji,3353.818181818182,11,36892.0
Alawar,3237.176470588235,17,55032.0
Raw Fury,3236.4666666666667,45,145641.0
PlayWay S.A.,3196.19801980198,101,322816.0
NeocoreGames,3174.8888888888887,9,28574.0
Prime Matter,3169.3333333333335,12,38032.0
DU&I,3085.6,5,15428.0
Dovetail Games - TSW,3077.0,5,15385.0
PM Studios,3048.4444444444443,9,27436.0
Frozenbyte,2839.0,6,17034.0
indienova,2832.9032258064517,31,87820.0
LucasArts,2832.5833333333335,12,33991.0
Gamera Games,2783.390804597701,87,242155.0
Toplitz Productions,2765.764705882353,17,47018.0
Gamious,2728.8333333333335,6,16373.0
Tripwire Presents,2725.6,5,13628.0
THQ Nordic,2707.6470588235293,119,322210.0
Secret Mode,2688.0714285714284,14,37633.0
Daedalic Entertainment,2684.9523809523807,84,225536.0
No More Robots,2665.5,14,37317.0
Dotemu,2607.846153846154,13,33902.0
Quiet River,2592.6666666666665,24,62224.0
Lightning Games,2584.25,12,31011.0
Riot Forge,2554.8333333333335,6,15329.0
GB Patch Games,2546.8,5,12734.0
Spike Chunsoft Co.,2498.6603773584907,53,132429.0
Paras Games,2454.5,8,19636.0
Arc System Works,2453.6969696969695,33,80972.0
inXile Entertainment,2428.6,10,24286.0
Akupara Games,2379.964285714286,28,66639.0
Toffee Cafe,2359.3333333333335,6,14156.0
Mayflower Entertainment,2302.0,8,18416.0
Nuuvem Inc,2286.0,6,13716.0
Kepler Ghost,2275.8571428571427,7,15931.0
Kasedo Games,2255.0833333333335,12,27061.0
DANGEN Entertainment,2244.0,18,40392.0
Yooreka Studio,2234.2,5,11171.0
Yacht Club Games,2222.625,8,17781.0
Matt Roszak,2201.4,5,11007.0
NVLMaker,2201.235294117647,17,37421.0
Cheesecake Dev,2184.5,8,17476.0
Maciej Targoni,2178.8571428571427,7,15252.0
Erabit,2151.6428571428573,14,30123.0
PLAYISM,2109.9363636363637,110,232093.0
HeartBeat Games,2092.4545454545455,11,23017.0
Devcats,2063.6,5,10318.0
Fellow Traveller,2048.5384615384614,26,53262.0
Destructive Creations,2043.5454545454545,11,22479.0
SakuraGame,2022.7826086956522,23,46524.0
Novalink,2021.142857142857,7,14148.0
astragon Entertainment,2020.0526315789473,19,38381.0
Blue Brain Games,2010.8,5,10054.0
Rogueside,2005.5,6,12033.0
NekoNyan Ltd.,1998.8461538461538,26,51970.0
HIKARI FIELD,1995.8333333333333,42,83825.0
Lucasfilm,1992.3157894736842,19,37854.0
UPLAY Online,1948.4,5,9742.0
2P Games,1925.764705882353,34,65476.0
